season,fullName,Current_Team,Team_in_2023,position,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,AverageFantasyPointsin2021,AverageFantasyPointsin2022,AverageFantasyPointsin2023,Average_Fantasy_Points_2024,Consistency_Rating,ceiling_average,Tot_60_plus_scores,Upside_Score,Risk.Rating
2023,David Miller,Gujarat Titans,Gujarat Titans,Batsman,240,1396,0,376,2012.0,,,33.53,,66,112.67,10,20.83 %,Medium
2022,David Warner,Delhi Capitals,Delhi Capitals,Batsman,192,2328,0,192,2712.0,,56.5,,,68,113.67,18,42.86 %,Medium
2021,David Warner,Delhi Capitals,Delhi Capitals,Batsman,128,984,0,112,1224.0,38.25,,,,68,113.67,18,42.86 %,Medium
2024,David Warner,Delhi Capitals,Delhi Capitals,Batsman,128,1096,0,0,1096.0,,,,34.25,68,113.67,18,42.86 %,Medium
2023,David Warner,Delhi Capitals,Delhi Capitals,Batsman,224,2700,0,224,3148.0,,,56.21,,68,113.67,18,42.86 %,Medium
2021,Deepak Chahar,Chennai Super Kings,Chennai Super Kings,Bowler,180,3,1176,156,1515.0,33.67,,,,63,119.0,7,21.21 %,High
2023,Deepak Chahar,Chennai Super Kings,Chennai Super Kings,Bowler,120,3,1017,24,1164.0,,,38.8,,63,119.0,7,21.21 %,High
2024,Deepak Chahar,Chennai Super Kings,Chennai Super Kings,Bowler,0,0,519,0,519.0,,,,21.62,63,119.0,7,21.21 %,High
2021,Deepak Hooda,Lucknow Super Giants,Lucknow Super Giants,Allrounder,192,804,216,224,1436.0,29.92,,,,64,108.0,8,16.67 %,Medium
2024,Deepak Hooda,Lucknow Super Giants,Lucknow Super Giants,Allrounder,144,900,32,0,932.0,,,,25.89,64,108.0,8,16.67 %,Medium
2023,Deepak Hooda,Lucknow Super Giants,Lucknow Super Giants,Allrounder,192,364,0,360,916.0,,,19.08,,64,108.0,8,16.67 %,Medium
2022,Deepak Hooda,Lucknow Super Giants,Lucknow Super Giants,Allrounder,240,2364,124,256,2984.0,,49.73,,,64,108.0,8,16.67 %,Medium
2023,Devdutt Padikkal,Lucknow Super Giants,Rajasthan Royals,Batsman,176,1360,0,128,1664.0,,,37.82,,65,111.33,10,20.41 %,Medium
2021,Devdutt Padikkal,Lucknow Super Giants,Rajasthan Royals,Batsman,224,2116,0,240,2580.0,46.07,,,,65,111.33,10,20.41 %,Medium
2022,Devdutt Padikkal,Lucknow Super Giants,Rajasthan Royals,Batsman,272,1936,0,184,2392.0,,35.18,,,65,111.33,10,20.41 %,Medium
