BatsmanName,venue,city,TotalBatsmenRuns_Venue,TotalBatsmenSixes_Venue,TotalBatsmenFours_Venue,TotalBallsFaced_Venue,TotalDotBalls_Venue,DotBallPercentage_Venue,BoundaryPercentage_Venue,TotalInnings_Venue,NumberOfOuts_Venue,NotOuts_Venue,BattingStrikeRate_Venue,BattingAverage_Venue
Akeal Hosein,Adelaide Oval,Adelaide,0,0,0,1,1,100,,1,1,0,0,0
Akeal Hosein,Bellerive Oval,Tasmania,31,0,3,24,7,29.17,38.71,3,,,129.17,
Akeal Hosein,Brian Lara Stadium,Trinidad & Tobago,26,2,1,26,15,57.69,61.54,2,2,0,100,13
Akeal Hosein,Brisbane Cricket Ground,Brisbane,25,1,3,19,9,47.37,72,1,1,0,131.58,25
Akeal Hosein,Central Broward Regional Park Stadium Turf Ground,Florida,8,0,1,12,7,58.33,50,2,1,1,66.67,8
Akeal Hosein,Dubai International Cricket Stadium,Dubai,6,0,0,13,8,61.54,0,1,,,46.15,
Akeal Hosein,Eden Gardens,Kolkata,10,1,0,12,8,66.67,60,1,1,0,83.33,10
Akeal Hosein,Kensington Oval,Barbados,44,4,3,16,5,31.25,81.82,1,,,275,
Akeal Hosein,National Cricket Stadium,Grenada,2,0,0,3,1,33.33,0,1,,,66.67,
Akeal Hosein,National Stadium,Karachi,3,0,0,3,,,0,2,,,100,
Akeal Hosein,Providence Stadium,Guyana,19,0,2,13,1,7.69,42.11,2,,,146.15,
Akeal Hosein,SuperSport Park,Centurion,0,0,0,1,1,100,,1,1,0,0,0
Akeal Hosein,Zayed Cricket Stadium,Abu Dhabi,1,0,0,1,,,0,1,,,100,
Ashton Turner,Daren Sammy National Cricket Stadium,Saint Lucia,30,0,2,32,14,43.75,26.67,2,2,0,93.75,15
Ashton Turner,Kingsmead,Durban,2,0,0,2,,,0,1,,,100,
Ashton Turner,Shere Bangla National Stadium,Dhaka,21,0,1,40,22,55,19.05,4,3,1,52.5,7
Andrew Tye,Daren Sammy National Cricket Stadium,Saint Lucia,15,1,1,8,2,25,66.67,1,1,0,187.5,15
Andrew Tye,Shere Bangla National Stadium,Dhaka,7,0,0,13,8,61.54,0,3,1,2,53.85,7
Aiden Markram,Adelaide Oval,Adelaide,17,0,2,13,2,15.38,47.06,1,1,0,130.77,17
Aiden Markram,Barsapara Cricket Stadium,Guwahati,33,1,4,19,6,31.58,66.67,1,1,0,173.68,33
Aiden Markram,Civil Service Cricket Club,Belfast,8,0,1,6,2,33.33,50,1,1,0,133.33,8
Aiden Markram,County Ground,Bristol,83,8,3,37,8,21.62,72.29,2,2,0,224.32,41.5
Aiden Markram,Dubai International Cricket Stadium,Dubai,51,4,2,26,5,19.23,62.75,1,,,196.15,
Aiden Markram,Greenfield International Stadium,Trivandrum,25,1,3,24,17,70.83,72,1,1,0,104.17,25
Aiden Markram,Kingsmead,Durban,97,4,7,68,19,27.94,53.61,3,3,0,142.65,32.33
Aiden Markram,National Cricket Stadium,Grenada,113,5,6,86,31,36.05,47.79,3,3,0,131.4,37.67
Aiden Markram,Perth Stadium,Perth,52,1,6,41,16,39.02,57.69,1,1,0,126.83,52
Aiden Markram,R Premadasa Stadium,Colombo,69,2,4,52,18,34.62,40.58,2,1,1,132.69,69
Aiden Markram,Sharjah Cricket Stadium,Sharjah,71,4,4,45,12,26.67,56.34,2,1,1,157.78,71
Aiden Markram,St George's Park,Port Elizabeth,30,1,4,17,5,29.41,73.33,1,1,0,176.47,30
Aiden Markram,SuperSport Park,Centurion,126,6,14,66,18,27.27,73.02,4,3,1,190.91,42
Aiden Markram,Sydney Cricket Ground,Sydney,30,0,5,25,13,52,66.67,2,2,0,120,15
Aiden Markram,The Rose Bowl,Southampton,51,0,5,36,6,16.67,39.22,1,,,141.67,
Aiden Markram,The Village,Dublin,39,2,2,30,9,30,51.28,1,1,0,130,39
Aiden Markram,The Wanderers Stadium,Johannesburg,165,6,22,94,34,36.17,75.15,4,3,1,175.53,55
Aiden Markram,Zayed Cricket Stadium,Abu Dhabi,40,1,3,40,16,40,45,2,2,0,100,20
Andile Phehlukwayo,County Ground,Bristol,22,0,3,17,5,29.41,54.55,1,1,0,129.41,22
Andile Phehlukwayo,Gaddafi Stadium,Lahore,14,1,1,11,6,54.55,71.43,2,2,0,127.27,7
Andile Phehlukwayo,St George's Park,Port Elizabeth,10,1,0,4,,,60,1,,,250,
Andile Phehlukwayo,SuperSport Park,Centurion,12,0,1,10,4,40,33.33,2,2,0,120,6
Andile Phehlukwayo,The Wanderers Stadium,Johannesburg,9,0,1,8,3,37.5,44.44,2,1,1,112.5,9
Aaron Hardie,Barsapara Cricket Stadium,Guwahati,16,0,3,12,9,75,75,1,1,0,133.33,16
Aaron Hardie,Kingsmead,Durban,23,1,3,14,6,42.86,78.26,1,1,0,164.29,23
Aaron Hardie,M Chinnaswamy Stadium,Bengaluru,6,0,1,10,7,70,66.67,1,1,0,60,6
Aaron Hardie,Perth Stadium,Perth,16,0,2,16,6,37.5,50,1,1,0,100,16
Aaron Hardie,Shaheed Veer Narayan Singh International Stadium,Raipur,8,0,1,9,5,55.56,50,1,1,0,88.89,8
Axar Patel,Adelaide Oval,Adelaide,7,0,1,6,3,50,57.14,1,1,0,116.67,7
Axar Patel,Barabati Stadium,Cuttack,10,0,1,11,5,45.45,40,1,1,0,90.91,10
Axar Patel,Brian Lara Stadium,Trinidad & Tobago,13,1,0,11,4,36.36,46.15,1,1,0,118.18,13
Axar Patel,Central Broward Regional Park Stadium Turf Ground,Florida,42,4,1,25,12,48,66.67,3,2,1,168,21
Axar Patel,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Vizag,7,0,1,8,5,62.5,57.14,2,1,1,87.5,7
Axar Patel,Eden Gardens,Kolkata,2,0,0,4,2,50,0,1,,,50,
Axar Patel,Holkar Cricket Stadium,Indore,9,0,1,8,2,25,44.44,1,1,0,112.5,9
Axar Patel,M Chinnaswamy Stadium,Bengaluru,31,1,2,21,6,28.57,45.16,1,1,0,147.62,31
Axar Patel,Maharashtra Cricket Association Stadium,Pune,65,6,3,31,11,35.48,73.85,1,1,0,209.68,65
Axar Patel,Melbourne Cricket Ground,Melbourne,2,0,0,3,3,100,0,2,1,1,66.67,2
Axar Patel,Narendra Modi Stadium,Ahmedabad,7,0,1,3,,,57.14,1,,,233.33,
Axar Patel,Providence Stadium,Guyana,14,0,1,12,3,25,28.57,1,1,0,116.67,14
